,author
يحيى الحجيري ـ جدة,1
جعفر الصفار ، أحمد المسري - القطيف,1
كولومبو - (د ب أ),1
جدة واس - الوئام :,1
الوئام - رويترز - bbc,1
اسطنبول - الوئام :,1
الرياض – الوئام - حمود الضلعان:,1
بريدة-الوئام:,1
مكة المكرمة - الوئام - محمد السويهري:,1
علي بن ظاهر – الخبر,1
سعود الحواس - الرياض,1
 ثامر قمقوم (عرعر، بغداد - هاتفيا),1
د ب أ - بانكوك,1
 عبدالله الدهاس (مكة المكرمة)، أحمد اللحياني (صنعاء ــ هاتفياً),1
هالة ياقوت – القاهرة,1
وكالات - رام الله,1
ا ش ا - باريس,1
د ب أ - تايبيه,1
رويترز - سان جوان,1
وكالات - باريس,1
رويترز   -لندن,1
رويترز - ديار بكر,1
أ ف ب - ناغازاكي,1
علي بن ظاهر - الخبر,1
اليوم – الخبر,1
اليوم - القيصومة,1
محمد العواد - رأس تنورة,1
واس - سول,1
واس - بكين,1
واس - اسطنبول,1
رويترز - كابول,1
رويترز - فيرجسون,1
رياض الخبراء - الجزيرة:,1
الرس -  منصور الحمود:,1
الجزيرة - الرياض :,1
رويترز - نيجيريا,1
د ب أ - بيروت,1
رويترز ـ نيويورك,1
رويترز – نيويورك,1
محمد الذبياني – الجبيل,1
فهيد الرشيدي – الجبيل,1
اليوم - عريعرة,1
حمدان سفر - الدمام,1
اليوم - النعيرية,1
اليوم - الوجه,1
واس - القدس,1
حائل – سلطان الشبرمي:,1
بدر الصقري,1
عبدالعزيز صالح الموسى,1
رويترز - نيروبي,1
وكالات - ابوظبي,1
اليوم - الدار البيضاء,1
هيثم حبيب - القطيف,1
عماد ناصر – جدة,1
ا ف ب - نيروبي,1
خاد سجاف - الدمام,1
إ ف ب - مايدوغوري,1
فهد بو عائشة - الأحساء,1
خالد علي- مكة المكرمة,1
أ. ف. ب. - مكسيكو,1
 عبدالرحمن العكيمي، نادر العنزي (تبوك),1
 عبد العزيز غزاوي (جدة),1
 عكاظ (السيح),1
 محمد أحمد الدميني,1
 رويترز (لوس أنجليس),1
 أحمد اللحياني (مكة المكرمة),1
 عبد الله الغالبي (رجال ألمع),1
 هناء البنهاوي، شوقي عبدالقادر (القاهرة),1
 راوية حشمي (هاتفيا الأردن),1
 عبدالله القرني (الخرج) عبدالرحمن شار (صبيا) علي بدير (تبوك),1
واس - مقديشو,1
نيروبي - (د ب أ),1
روما - أ. ف. ب.,1
نيويورك - (د ب أ),1
بروكسل - أ. ف. ب.,1
القاهرة - (د ب ا),1
هالة ياقوت-القاهرة,1
وكالات ـ نيويورك,1
د ب أ ـ برازيليا,1
القدس - الوئام,1
المدينة - الوئام - سمير اللهيبي :,1
نجران - الوئام - عوض ال عاطف :,1
جدة: مصطفى مكي,1
إسطنبول، دمشق: الوكالات,1
المدينة المنورة : سعد الحربي,1
جدة، الرياض: نجلاء الحربي، نايف العصيمي,1
أبها، صنعاء: سلمان عسكر، محمد عبدالعظيم,1
مقديشو - وكالات,1
أنقرة - د. ب. أ,1
بروكسل - واس,1
نجران - عبدالله فراج,1
أملج - واس,1
كيب كنافيرال (فلوريدا) - رويترز,1
نوي أولم/ إيشنهاوزن (ألمانيا) - د ب أ,1
مكسيكو - أ ف ب,1
موسكو  - أ ف ب,1
الرياض- بندر العبيد,1
سارة العتيق,1
القاهرة - الرياض، سباعي إبراهيم وأحمد إبراهيم,1
صيدا - أ ف ب,1
ديار بكر (تركيا) ، اسطنبول - د ب ا ، أ. ف. ب.,1
اسطنبول، أنقرة - وكالات الأنباء,1
واشنطن: وكالات,1
فيلادلفيا: أ ف ب,1
تركيا - الوئام :,1
ليل: واس,1
الطائف - الوئام - محمد السويهري :,1
جازان - الوئام - حجب العصيمي :,1
البجادية - الوئام - شعوان النخيش :,1
القدس - الوئام :,1
طوكيو - الوئام :,1
الرياش - الوئام :,1
ونترسيت -الوئام:,1
أبهــا-الوئام:,1
سان بطرسبرج-الوئام:,1
سان بطرسبرج -الوئام:,1
شارلوت -الوئام-أ ف ب:,1
صبيا-الوئام:,1
كاليفورنيا -الوئام:,1
شينزين: أ ف ب,1
نيويورك: وكالات,1
الباحة: يوسف بخيت,1
أحد رفيدة: مسعود آل معيض,1
الرياض، دبي: نايف العصيمي، الوكالات,1
بيروت: أسماء وهبة، نانسي فاخوري,1
 عبد القادر فارس,1
 حاوره:نصير المغامسي (هاتفيا استطنبول),1
 عكاظ (كانبرا),1
لندن - د. ب. أ:,1
علي المقبلي من جدة,1
روبن ويجلزويرث وإلين مور من نيويورك,1
ليلي لي براون من لندن,1
*طلال الصياح من الرياض,1
“أ ب”,1
كابول :(د ب أ),1
مانيلا:رويترز,1
سول : واس,1
فيرغسون : أ. ف. ب,1
روما : أ. ف. ب,1
باريس: رويترز,1
سانتياجو :رويترز,1
طوكيو:د ب أ,1
الخرطوم : واس,1
اسطنبول:رويترز,1
لندن :(أ ف ب),1
فرانكفورت:رويترز,1
كوالالمبور :رويترز,1
المدينة المنورة: عبد العزيز العنزي,1
خليفة الهاملي من عنيزة,1
روما ـــ د. ب. أ:,1
ديترويت: «الشرق الأوسط»,1
"""الفرنسية""",1
باماكو - (ا ف ب):,1
د. محمد بن فهد بن عبدالعزيز الفريح,1
سلطان المهوس,1
سول - (د ب أ):,1
النجوم زينة السماء - كما هي هداية للبشر,1
الجزيرة - عبدالعزيز بن سعود المتعب:,1
الخرمه - ربح السبيعي:,1
الجزيرة - عليان آل سعدان:,1
موسكو - واس:,1
بريدة - واس:,1
الخرج - سليمان الظفيري:,1
لندن - العمانية:,1
قندوز - أ ف ب:,1
أنقرة - ا ف ب:,1
بروكسل - أ ف ب:,1
بغداد - وكالات:,1
الدوحة - قنا:,1
إعداد- عبدالله المالكي:,1
صنعاء - الجزيرة - عدن - أ ف ب:,1
واشنطن: محمد علي صالح بروكسل: عبد الله مصطفى,1
قندز (أفغانستان): «الشرق الأوسط»,1
 رويترز (بودابست),1
محمد الزامل- سبق- الخرمة:,1
ماجد الرفاعي -سبق-ينبع :,1
فهد كاملي، عمر عريبي- سبق- جازان:,1
علي حفول - سبق -الرياض:,1
أحمد الزهراني- سبق- مكة المكرّمة:,1
بدر الجبل –سبق –تبوك:,1
واس - عدن:,1
واس - ابها:,1
سبق- الدمام :,1
سعود الدعجاني – سبق – جدة:,1
واس- عدن:,1
 واس (ليل),1
 علي بدير(تبوك),1
 رويترز (كيب كنافيرال),1
 وكالات (روسيا),1
 وكالات (التشيك),1
 واس (حفر الباطن),1
  حسين بن حمد الرقيب,1
 المهندس عبدالمنعم الشنقيطي,1
 رويترز (سان بطرسبرج),1
فلاح الجوفان- سبق- متابعة:,1
محمد الزامل- سبق- الرياض:,1
واشنطن: جولي هيرتشفيلد ديفيز,1
هادي العصيمي- سبق:,1
الحديدة: وائل حزام  - عدن: محمد علي محسن - صنعاء: «الشرق الأوسط»,1
الخرطوم: «الشرق الأوسط»,1
بغداد: حمزة مصطفى ومناف العبيدي - أربيل: «الشرق الأوسط»,1
نيوبورت نيوز (فيرجينيا):  نيلسون شوارتز,1
لوكارنو: محمد رُضـا,1
سوسة (تونس) ـ جوهانسبرغ: «الشرق الأوسط»,1
دبي: هاني نسيرة,1
عدن: محمد علي محسن - صنعاء: «الشرق الأوسط»,1
باماكو - الجزائر: «الشرق الأوسط»,1
الدمام: ميرزا الخويلدي - عدن: محمد علي محسن,1
بغداد: حمزة مصطفى ومناف العبيدي,1
حجاب القحطاني- سبق- الرياض:,1
فهد العتيبي- سبق- الرياض :,1
علي حفول - سبق - الرياض:,1
سبق- أبها,1
عبدالله البرقاوي- سبق- الطائف:,1
سبق- عرعر:,1
محمود الحمد – سبق – متابعة:,1
فايز الاسمري -سبق - الرياض:,1
الرياض 24 شوال 1436 هـ الموافق 09 اغسطس 2015 م واس,1
عزيز مشواط *    ,1
خالد الجعيد من الطائف  محمد الأكلبي من جدة,1
حورية الجديع- الجوف,1
المدينة - جدة - تصوير - سعد الجهني,1
المدينة - جدة - تصوير: أحمد الماحي,1
محمد أبوزيد- القاهرة,1
د ب ا - روما,1
عبدالله الحرازي – الرياض,1
غازى القحطانى ـ الرياض,1
سعيد الزهراني، عواض الخديدي، علي بن نمران - الطائف,1
عبدالله الشهري- نجران,1
مشعل القحطاني - الخبر,1
عبدالعزيز الغامدي - جدة,1
باريس: رياض معسعس,1
عبدالرزاق البجالي - مكة,1
واس - مسقط,1
واس - جوانزو,1
أحمد الجهني- جدة,1
عبد الرحمن القرني ـ عسير,1
الرس - محمد الدخيل / تصوير - صالح العقيل:,1
الزلفي - خالد العطا الله / تصوير - أحمد العيد:,1
مالية - واس:,1
الأفلاج - ناصر الفرشان:,1
عبد الرحمن أبورياح - الباحة,1
متابعة- الرياض الإلكتروني,1
فلسطين - واس,1
جدة، الرياض - واس,1
القدس - د ب أ,1
الزلفي - عبدالرحمن الخضيري عدسة- عبدالعزيز العمار,1
الرياض - يحيى زيلع،  عدسة - محمد المبارك,1
جازان  انور خواجي,1
الرياض – راشد السكران,1
جدة- صالح الرويس,1
جازان -عادل الزائري,1
مسقط - واس,1
مينيسوتا - رويترز,1
محمد الرشيدي,1
طوكيو- أ ف ب,1
حاوره - طامي السميري,1
أنقرة، برلين - رويترز، د ب أ,1
جازان - عبدالله الفيفي,1
الرياض، تقرير - هتاف المحيميد,1
جازان، استطلاع - عافية الفيفي,1
واشنطن-الرياض,1
صنعاء - خاص بالرياض ، القاهرة - رويترز,1
عدن، صنعاء - واس، خاص ب«الرياض»,1
الجزيرة- عبدالله الفهيد:,1
دمشق - اسطنبول - وكالات:,1
القاهرة - نهى سلطان - الرياض - عدن - وكالات:,1
قندوز: أ. ف. ب,1
فيلادلفيا:د ب أ,1
مدريد :د ب أ,1
اربيل:د ب أ,1
اسطنبول :رويترز,1
الأمم المتحدة : واس,1
جون جابر من لندن,1
عبدالعزيز الفكي من الدمام ومنال الأحمدي من جدة,1
نيروبي : د ب أ,1
مسقط: واس,1
الأقصر (مصر): {الشرق الأوسط},1
وموتوكو ريتش,1
واشنطن: دونا سانت جورج,1
لندن - برلين: «الشرق الأوسط»,1
بودابست: «الشرق الأوسط»,1
إل شاكو (الإكوادور): كليفورد كراوس وكايث بردشر,1
نيويورك: طه صديقي  وديكلان والش,1
بوغوتا - لندن: «الشرق الأوسط»,1
القدس: جودي رودورين,1
الدمام (القطيف): «الشرق الأوسط»,1
سيدني: واس,1
"الرياض "" واس",1
الجزيرة - عبدالإله بن سعود السعدون:,1
انقرة : أ ف ب,1
الخبر الأول:,1
1921 - باحثون في كندا يكتشفون للمرة الأولى الإنسولين، الهرمون الذي يفرزه البنكرياس.,1
الجزيرة - عبدالعزيز سعود المتعب:,1
بوح مؤثر لشاعرة معروفة تُجَسِّد ألم فراق والدها المضني - رحمه الله - عن هذه الدنيا الفانية...,1
سعادة رئيس تحرير صحيفة الجزيرة -سلمه الله-..,1
عدسة - وائل الحكمي - فهد العبيد - خالد الشلوان - فيصل عوده:,1
جرش - الجزيرة:,1
بكين - رويترز:,1
سان بطرسبرج ـ رويترز:,1
الجزائر ـ رويترز:,1
مايكل سكابينكر من هونج كونج,1
جيليان تيت من لندن,1
هنري ساندرسون وديفيد شيبرد ونيل هيوم من لندن,1
حوار: علي الزنقري,1
ميونيخ : د ب أ,1
أبها : واس,1
جوانزو:واس,1
صنعاء : د ب أ,1
(د ب أ,1
واشنطن - وكالات,1
رام الله - عبدالسلام الريماوي   غزة - مها أبو عويمر,1
الكويت، طهران  أحمد العويد، نضال فاضل,1
 افتخار باحفين، جابر مدخلي (نجران),1
 خالد العدل ( القصيم),1
أندري تارتار ونيكوس كرايسولوراس,1
د ب أ- بانكوك,1
عبدالعزيزالمقهوي - الدمام,1
خالد علي-مكة المكرمة,1
اليوم-لوس أنجلس,1
فهد بوعائشة - مقاطعة كوجالي,1
أ ف ب - مقديشو,1
بنا ـ المنامة,1
وكالات، العزب الطيب الطاهر - عواصم,1
اليوم - تنومة,1
واس ـ مكة المكرمة,1
اليوم ـ عنيزة,1
اليوم ـ جدة,1
"عمر المطيري، علي الضباح - جدة, جازان",1
واس - أديس ابابا,1
عمر الربدي,1
اليوم ـ سكاكا,1
"يوليو 27, 2015, 2:51 م",1
 محمد الكادومي (جازان)،,1
 محمد فلاته (مكة المكرمة),1
ا ش ا ـ واشنطن,1
 أ. ف. ب (دياربكر),1
واس- سيدني:,1
رويترز- إسطنبول:,1
"‏‫سلطان السلمي،""تصوير : مشعل الزهراني""- سبق- جدة:",1
سبق- الشرقية:,1
 (أ. ف. ب) لندن,1
 رويترز (نيروبي),1
 فيصل مجرشي(جدة),1
 عبدالعزيز المشـيطي (القريات),1
 أيمن عابد,1
 روما (أ.ف.ب),1
 أ ف ب (مانشستر),1
 أ.ف.ب (شارلوت),1
  :أ. ف. ب (كوبيرتينو),1
 فهيم الحامد (هاتفيا - عواصم),1
 غرامة سعيد,1
 جمعان العدواني,1
 أ. ف. ب (الكويت),1
 عمر بن صالح الحمدان (الباحة),1
 عكاظ (المكاتب الداخلية),1
رويترز - أديس ابابا,1
أحمد المسري - سيهات,1
بغداد - صداق العراقي، الوكالات,1
صنعاء، الرياض: محمد عبدالعظيم، الوكالات,1
جدة، الطائف: نجلاء الحربي، خالد الشهري,1
تبوك: خالد الرواضين، أحمد الحجيري,1
إرفورت - د ب أ,1
شتوتجارت - د. ب. أ,1
فيلادلفيا - د ب أ,1
جدة - د ب أ,1
الطائف - إسماعيل إبراهيم، نواف بن خيشوم,1
لندن -  الرياض,1
جوهانسبرغ - الرياض,1
نيودلهي - الرياض,1
زوق مكايل، شمال بيروت - رويترز,1
بكين- د ب أ,1
الرياض - شبيب الحقباني,1
حائل - مشعل الرحيّل,1
بريدة- نايف البدراني,1
عبدالجبار الجفيني,1
قراءة – محمد باوزير,1
الخرج - عبدالرحمن المقرن,1
جوردي روف *,1
مكة المكرمة: فهد الإحيوي، أحمد الجهني,1
بومباي: الوكالات,1
حذيفة إبراهيم ـ اليوم / المنامة,1
الدمام: محمد الجديع,1
اليوم – الأحساء,1
الطائف - عيد العتيبي,1
الباحة - الوئام - محمد السويهري :,1
الجزائر-الوئام:,1
كركوك-الوئام:,1
محمد السويهري - الوئام - مكة المكرمة:,1
الرياض - الوئام - إسماعيل الحكمي :,1
لوس أنجلوس: الوطن,1
حائل:  عبدالكريم الفطيمان,1
صبيا: الوطن,1
طرابلس: الوكالات,1
أبها، نيروبي، مقديشو: محمد أبو القاسم، الوكالات,1
إسطنبول: الوكالات,1
أبها: خلف عامر,1
الدمام: عبدالله الطمع,1
جدة: يُمن لقمان، عبدالرحمن زيد,1
شارلوت (الولايات المتحدة): أ ف ب,1
عمّان: واس,1
أبها: عيسى الربعي,1
بروكسل: عبد الله مصطفى - لندن: نجلاء حبريري,1
بايرويت - لندن: «الشرق الأوسط»,1
جو رينيسون من نيويورك,1
ستوكهولم - د ب أ,1
بالكسير - د ب أ,1
غزة - مها أبوعويمر,1
واشنطن ، طهران - رويترز ، د ب ا,1
جدة - تركي العوفي,1
 ميرا (زائر),1
الرياض - محمد الشيباني، صالح الحميدي,1
عرعر - واس,1
جدة - واسجدة - صالح  الرويس,1
باندا أتشيه - د ب أ,1
تايبيه - د ب أ,1
جدة: إبراهيم القرشي  وعبد المجيد عبد الرؤوف,1
متابعة - إبراهيم الشيبان,1
نجوى هاشم,1
 الاب الرحيم (زائر),1
الطائف، تحقيق - نواف بن خيشوم,1
فيينا- د ب أ,1
شاتسوورث (جورجيا) - رويترز,1
تبوك، تحقيق- نورة العطوي,1
ريما 1,1
رشيد 1,1
مانسانار (الولايات المتحدة) - أ ف ب,1
كيربن مانهايم (ألمانيا) - رويترز,1
صنعاء - أ ف ب,1
 Mhelal (زائر),1
أبها: محمد الدعفيس,1
الأحساء، الطائف: عدنان الغزال،   خالد الشهري,1
الجوف: عبدالرحمن البراهيم، الوطن,1
فهد المرسال,1
سعود سيف الجعيد,1
فهد أحمد عطيف,1
نايف الحميضي,1
لاس فيجاس: رويترز,1
كولورادو: رويترز,1
الرياض:  أحمد الدوسري,1
الرياض:  فارس النواف,1
لندن- تركي الناصر,1
أجاديز (النيجر) - د ب أ,1
سينتينيال (الولايات المتحدة)- وكالات,1
ايسيكس (المملكة المتحدة) - الرياض,1
ستوكهولم- د ب أ,1
نيودلهي- د ب أ,1
شنغهاي - د ب أ,1
كاتمندو - رويترز,1
برلين- د ب أ,1
واشنطن- د ب ا,1
جار سهيل,1
1942- السلطات البريطانية تعتقل عدداً من مسؤولي المؤتمر الوطني الهندي بينهم نهرو وغاندي.,1
بالكسير - د ب ا:,1
رام الله - بلال أبو دقة - رندة احمد:,1
الدمام  - عيسى الخاطر:,1
الجزيرة - عوض مانع القحطاني:,1
بغداد - الجزيرة:,1
موسكو:أ ف ب,1
موسكو : رويترز,1
بروكسل :أ ف ب,1
"إ.ب.أ""",1
«الاقتصادية»  من المدينة المنورة,1
شنغهاي ـ رويترز:,1
بيونس آيرس - الفرنسية:,1
نيقوسيا ـ الوكالات:,1
علي الزنقري ومنير أبو بشيت من الدمام,1
د. رشود الخريف,1
تد تشو,1
شنغهاي : (أ ف ب),1
لوسي هورنبي من شنغهاي,1
جوزيف كوتيريل من لندن,1
كابول - ا ف ب:,1
ناصر القصبي: إنا لله وإنا إليه راجعون #وفاة_المذيع_سعود_الدوسري,1
أنقرة - واس,1
القطيف - واس:,1
 مخموم القلب (زائر),1
الطائف، تحقيق- نواف بن خيشوم,1
 بو جنان (زائر),1
الدمام - الجزيرة:,1
دخنة - سعود البهيمة:,1
الجزيرة - عبدالله المقحم:,1
بقعاء -  فهد الشيحان:,1
خميس مسيط - فيصل الأحمري:,1
مكة المكرمة - سامي على / تصوير - سليمان وهيب:,1
الجزيرة - خالد الحامد:,1
حائل - فرحان الجارالله:,1
القاهرة – مكتب الجزيرة – طارق محيي:,1
كتب - سلطان المهوس:,1
بدر السعيّد,1
كولورادو - (د ب أ):,1
نيودلهي - (دب ا):,1
أمستردام - العمانية,1
القاهرة - آمنة عيد:,1
عرعر - واس:,1
دبي: رويترز,1
القاهرة: رويترز,1
أبها:  محمد أبوالقاسم,1
 استطلاع: محمد النعمي,1
 أ ف ب (صنعاء),1
 عبدالله آل هتيلة (هاتفيا، صنعاء),1
 محمد بن متعب بن ثنيان آل سعود,1
 الوكالات (نيويورك),1
 الوكالات (لندن),1
 الوكالات (عواصم),1
 واس (الرياض)، محمد السبيعي (الخرمة),1
 حسين الشريف,1
 أحمد فراج (نجران),1
 عهود مكرم (برلين),1
 رويترز (ديار بكر),1
 افتخار باحفين (جازان),1
 أحمد الكناني، عبدالعزيز غزاوي (جدة),1
 واس (جدة)، عبدالله القحطاني (أبها),1
برلين - (د ب أ),1
برشلونة - أ. ف. ب.,1
وكالات - الإسكندرية,1
وكالات-مدريد,1
اليوم -القاهرة,1
 إعداد: عادل الماس (جدة) (تصوير: أحمد المقدام),1
  أ. ف. ب (نيقوسيا),1
أ ف ب  -لندن,1
 رويترز (روسيا),1
صنعاء: عرفات مدابش  الرياض: ناصر الحقباني,1
الكويت: ميرزا الخويلدي  بروكسل: عبد الله مصطفى,1
رام الله: كفاح زبون تل أبيب: «الشرق الأوسط»,1
بندر آل عوض- سبق- بدر الجنوب:,1
عيسى الحربي- سبق- الرس:,1
سبق - ابها:,1
عمر عريبي - سبق - جازان :,1
متعب البقمي - سبق - جدة:,1
بدر الجبل – سبق- تبوك:,1
 عمرو جاري (جازان),1
 محمد المالكي (جازان)، (تصوير: المحرر),1
 ياسمين السهيمي (الدمام),1
 عبدالخالق بن علي,1
 محمد حسن إبراهيم,1
 خالد الذيابي (العطيف),1
 محمد فلاتة (مكة المكرمة),1
 ردة الحارثي (ميسان),1
 رويترز (بكين),1
 رويترز (سان انطونيو),1
رويترز -لندن,1
أ ف ب  -ليون,1
سيلوبي (تركيا)‭‭‭‭‭‭‬‬‬‬‬‬‬: الوكالات,1
موسكو - أ. ف. ب.,1
تبوك - الوئام - خالد المرشود :,1
بماكـو (مالــي)-الوئام:,1
بغداد - الوئام :,1
الوئام - محمد المالكي:,1
الدمام - الوئام - خالد المرشود:,1
غزة-الوئام:,1
دمشق - الوئام:,1
سوريا - الوئام,1
الوئام - واس :,1
الخرج - الوئام - عيد المصارير :,1
تورونتو: أ ف ب,1
بوينوس أيرس: (أ ف ب),1
جدة، نيقوسيا: يُمن لقمان، أ ف ب,1
الطائف: معيض الحارثي,1
بغداد: عدي حاتم,1
إسطنبول: طه عودة,1
أبها، دمشق، بيروت: الوطن، الوكالات,1
رام الله:  عبدالرؤوف أرناؤوط,1
القاهرة: هاني زايد، الأناضول,1
عفيف - الوئام - عبدالله العازمي,1
د ب أ - سربرنيتش,1
وكالات - فيجو(إسبانيا),1
واس - الرياض - عدن,1
وكالات - موسكو,1
محمد الخباز - الدمام,1
أ ف ب  -بوينوس ايرس,1
أ ف ب - طهران,1
أ ف ب - بروكسل,1
اليوم - بيروت,1
أ ف ب - الحسكة,1
أ ف ب - رام الله,1
واس ـ جازان,1
أ ف ب - فيرغسن,1
وكالات - الضفة الغربية,1
رضوان غضنفر,1
اكابر الاحمدي – جدة,1
علي الشهري - الدمام,1
اركنسا - واس,1
محمد الخباز – القطيف,1
أ ف ب -كابول,1
محمد هجرس -  القاهرة,1
عبدالعزيز العمري - أبها,1
ديالى - د ب أ,1
نيروبي - أ  ف ب,1
الأقصر: «الشرق الأوسط»,1
«الاقتصادية» من لوس أنجلوس,1
رام الله - بلال ابو دقة - رندة أحمد:,1
الجزيرة - ا ف ب:,1
أربيل - وكالات:,1
الجزيرة - المحليات / تصوير - عبد الملك القميزي:,1
صنعاء - الجزيرة - وكالات:,1
الجزيرة - الوكالات:,1
نبيل علي صالح*    ,1
لندن - الفرنسية:,1
لندن ـ رويترز،,1
تصوير : (ا ف ب),1
القاهرة- أحمد إبراهيم,1
كارا سكانيل من نيويورك وجينا تشون من لندن,1
مايا جاغي من لندن,1
جافين جاكسون من لندن,1
الرياض:م واس,1
موسكو : (رويترز),1
الاحساء : واس,1
"دبي""رويترز",1
"اسطنبول"" أ. ف. ب",1
"القاهرة""د ب أ",1
القدس - رندة أحمد:,1
القاهرة - العمانية:,1
الهلالية - طيف الخليفة:,1
كتبت - ليلى السعودية:,1
الأحساء - صالح المحيسن، سليم القطان,1
الدوحة، موسكو - وكالات الأنباء,1
الرياض - عبدالعزيز العنبر:,1
نحران - علي اليامي,1
النماص - محمد آل حصان:,1
حفر الباطن - الجزيرة:,1
الدليمية - خالد المطرفي:,1
الجبيل - الجزيرة:,1
الطوال - واس:,1
مونتفيديو - (د ب أ):,1
الجزيرة - عايدة بنت صالح:,1
تونس هاتفياً - صالح الغفيص:,1
داهالا - ا ف ب:,1
اسلام اباد - أ ف ب:,1
باريس - أ ف ب:,1
طلال الظفيري - الجزيرة - الكويت:,1
(الفرنسية):,1
تونس - (رويترز):,1
كتب - محرر الوراق:,1
"ساو باولو"" رويترز",1
"تورونتو "" رويترز",1
"شنغهاي""رويترز",1
صنعاء: عرفات مدابش ـ  الرياض: ناصر الحقباني,1
 سبق - نجران:,1
سبق-طريف:,1
علي القرني- سبق- الرياض:,1
غزوان الحسن- سبق- الرياض:,1
ماجد الرفاعي-عبدالله الراجحي - سبق- ينبع:,1
عوض الفهمي- سبق- الليث:,1
واس- الأحساء:,1
عمر عريبي - سبق – جازان:,1
بدر العتيبي - سبق - القصيم:,1
خالد علي– سبق– جدة:,1
 د . أحمد التويجري ,1
 رويترز (دبي),1
 عبد الرحمن شار (صبيا)، محمد العبدالله (الدمام),1
 فهد جميل مؤمنة - عضو لجنة الفعاليات والمعارض والمؤتمرات بغرفة مكة المكرمة,1
 أ.ف.ب (ماليزيا),1
 (تصوير: المركز الإعلامي لنادي الاتحاد),1
 رويترز (صنعاء),1
 وكالات (أسطنبول),1
 شوقي عبد القادر (القاهرة),1
سبق -جازان:,1
أربيل: دلشاد عبد الله  لندن: «الشرق الأوسط»,1
البوكيرك(نيو مكسيكو):رويترز,1
عمان محمد الدعمة,1
بيروت : واس,1
نجران :م واس,1
أبو ظبي : (د ب أ),1
"جدة "" واس",1
القاهرة/بكين : (د ب أ),1
الجزائر : (رويترز),1
القاهرة/سان فرانسيسكو : (د ب أ),1
واشنطن: سيليا كانغ,1
روما - لندن: «الشرق الأوسط»,1
هامبورغ: «الشرق الأوسط»,1
بورتوريكو: ماري ويليامز وولش,1
طهران: عادل السالمي ـ  «الشرق الأوسط»,1
ميامي: «الشرق الأوسط»,1
بغداد - البصرة: «الشرق الأوسط»,1
الدمام: ميرزا الخويلدي  موسكو: «الشرق الأوسط»,1
جازان: «الشرق الأوسط»,1
بوسطن: {أونلاين ـ الشرق الأوسط},1
الكويت: عدنان فرزات - الدمام: «الشرق الأوسط»,1
دلهي: براكريتي غوبتا,1
نيويورك، القاهرة، مكة المكرمة، أبوظبي - د ب أ، واس,1
ثقافة اليوم - واس,1
جدة - صالح الرويس- واس,1
ايران - الوئام:,1
جواهر المطيري ـ جدة,1
إبراهيم الدوسري,1
جعفر الصفار، محمد العواد - القطيف,1
اليوم - عدن,1
محمد العويس، ابراهيم المشعل - الاحساء,1
بقيق - الوئام :,1
كوالالمبور-الوئام:,1
الاحواز - الوئام :,1
الوئام - الأناضول :,1
عبد المحسن المطيري,1
الطائف - ضيف فهد,1
الليث ـ الوئام ـ محمد السويهري :,1
الليث - الوئام - عبدالله الشهراني :,1
الجوف -الوئام- عبدالله النعيم:,1
المدينة المنورة - الوئام-عبد الله العازمي:,1
روما -الوئام:,1
تبوك- الوئام :,1
حفر الباطن-الوئام:,1
نجران-الوئام- عوض ال عاطف:,1
المغرب - الوئام :,1
محمد العياف - هاتفياً - تونس,1
عبدالله القطان – الأحساء,1
عادل التركي - الخبر,1
عبدالرحمن إدريـس- جدة,1
 أ ف ب (بيروت),1
بيتر أورزاج,1
ليونيد يبرشيدسكي,1
اف ب - لندن,1
ماجد المالكي - الخبر,1
حسام النصر - الدمام,1
أ ف ب - ميامي,1
رويترز - فيينا,1
اليوم – بقيق,1
حمزة بوفهيد ــ الأحساء,1
محمد العويس، رانيا عبدالله ـ الأحساء,1
رام الله - (رويترز),1
د ب أ - دبي,1
بيشاور - (رويترز),1
ابوظبي - أ. ف. ب.,1
ميلانو - رويترز,1
دبي - أ. ف. ب.,1
روما - (د ب ا),1
الدوحة - (د ب ا),1
اليمن - الوئام,1
ستانفورد: أ ف ب,1
وادي بن هشبل: مسعود آل معيض,1
تقرير ـ عبدالسلام محمد البلوي,1
شتوتجارت - رويترز,1
بلنسية - د. ب. أ,1
متابعة - محمد ناصف,1
الرياض ـ أحمد غاوي,1
أبو ظبي - واس,1
بوجمبورا - رويترز,1
موسكو - أ ف ب:,1
بيشاور (باكستان) - رويترز:,1
هاشم عبده هاشم,1
إعداد وتصوير - فالح الشراخ,1
صالح العنزي,1
يجيب عنها د. محمد قطب,1
روما- د ب أ,1
هراري- دب أ,1
الجبيل - محمد الزهراني,1
الرياض، تحقيق - عبدالعزيز الراشد,1
الرس، تحقيق- سليمان اللزام,1
الدمام - ماضي السهلي,1
الرياض - عبدالرحمن الناصر,1
بريدة - مريم الحربي,1
الرياض، استطلاع - هتاف المحيميد,1
ريو دي جانيرو: أ ف ب,1
عمّان - الرياض,1
تربة: سعد حنيف,1
الأحساء، المدينة المنورة: عدنان الغزال، مخلد الحافظي,1
كابول، إسلام أباد: فهيم الله أمين، جاسم تقي,1
أربيل: أ ف ب,1
القاهرة: هاني زايد، صفوت عمران، رويترز,1
العواصم: طه عودة، الوكالات,1
بوسطن: واس,1
جدة، باريس: واس,1
لندن: الوطن، الوكالات,1
جازان، الجبيل: حسين معشي، عبدالله سهل، فاطمة الراجحي، سعيد الشهراني,1
