,author
أحمد الحربي - مكة المكرمة,11
عواض الخديدي - الطائف,11
الطائف - محمد الوذيناني:,11
* أحمد الرشيد من الرياض,11
عبدالحميد العمري,11
اليوم- الدمام,11
الوئام - rt,11
مكة المكرمة - سامي علي:,11
الوئام - sky,11
«الاقتصادية» من جدة,11
مساعد العصيمي,11
دبي - رويترز,11
المكلا: محمد اليزيدي,11
الرياض - د ب أ,11
مكة - الوئام - حجب العصيمي:,11
الأحساء - سليم القطان,11
عبدالله الزهراني - مكة المكرمة,11
الأحساء - صالح المحيسن,11
الدار البيضاء: لحسن مقنع,11
اليمن - الوئام:,11
واس - مكة المكرمة ,11
جازان - عادل الزائري,11
حسن الحارثي,11
الرياض: نايف العصيمي,11
عبدالله الشملاني - الرياض,11
رام الله: عبدالرؤوف أرناؤوط,11
الرياض - مساحة زمنية,11
الرياض – عبدالعزيز الصعيدي,11
حسن الناشري - جدة,11
خالد علي - مكة المكرمة,11
المجمعة - عبدالعزيز الصالح,11
 عيسى الحليان,11
القاهرة: هاني زايد,11
علي ضباح - جازان,11
 وكالات (لندن),10
جدة: أسماء الغابري,10
رويترز - واشنطن,10
 عبدالله الغامدي (الرياض),10
المدينة ـ الرياض,10
مكة المكرمة - تركي السويهري,10
 أحمد عبدالله (القاهرة),10
سان فرانسيسكو - رويترز,10
 عبدالله الثبيتي (مكة المكرمة),10
لوس أنجليس: «الشرق الأوسط»,10
فواز عزيز,10
مكة المكرمة - واس,10
تل أبيب: نظير مجلي,10
الحديدة (اليمن): وائل حزام,10
د ب أ - لندن,10
جدة: نجلاء الحربي,10
لندن: رويترز,10
أحمد الجهني - جدة,10
نجران: سلطان دغمان,10
وكالات - لندن,10
حفر الباطن - عبدالله السعيدي:,10
واس - الطائف,10
هادي آل كليب- سبق- نجران:,10
أيمن حسن- سبق:,10
اليوم - الطائف,10
 عبدالله القرني (الرياض),10
برلين: «الشرق الأوسط»,10
واس - لندن,10
أملج - واس:,10
مكة المكرمة - واس:,10
الخرطوم: أحمد يونس,10
المدينة المنورة - واس:,10
برلين-الوئام:,10
محمد العريان,10
ليونيد بيرشيدسكي,10
أحمد عبد الرحمن العرفج,10
عبدالعزيز الشرقي - شرم الشيخ,10
الطائف - واس:,10
وكالات - واشنطن,10
 عكاظ (بغداد، عمان),10
سالم الشهري,10
جازان - علي العمودي:,10
نايف الثقيل من الرياض,10
 فهيم الحامد (جدة),10
القاهرة - سجى عارف:,10
هاني قفاص - مكة المكرمة,10
واس,10
باريس: ميشال أبو نجم,10
اليوم - مكة المكرمة,10
الرياض - أحمد الأحمد,10
الجوف - محمد الحموان:,10
تونس: المنجي السعيداني,10
القاهرة-الوئام:,9
واس ـ الرياض,9
أحمد العتيبي - الرياض,9
فيينا: بثينة عبد الرحمن,9
سكاي نيوز,9
بريدة - عبدالرحمن التويجري:,9
 عبدالقادر فارس (غزة),9
عبدالسلام الثميري من الرياض,9
الأنبار: مناف العبيدي,9
لندن: جوسلين إيليا,9
عسير - الوئام :,9
الرياض: أحمد الدوسري,9
الطائف: فواز الغامدي,9
سطام المقرن,9
جازان - حمد دقدقي,9
بشائر محمد,9
الرياض: عبد الإله الشديد,9
سبق - الرياض:,9
ماجد الرفاعي- سبق- جدة:,9
الدمام: ميرزا الخويلدي,9
مدريد - د ب أ,9
أثينا: عبد الستار بركات,9
 عبدالعزيز غزاوي (جدة),9
القاهرة - الوئام :,9
ماجد الرفاعي- سبق- ينبع:,9
"| Tuesday, 11 August 2015 - 00:00 am",9
محمد العويس - الأحساء,9
وكالات - بيروت,9
الجبيل الصناعية - إبراهيم الغامدي,9
 منصور الشهري (الرياض),9
ظهران الجنوب: عوض فرحان,9
وادي الدواسر - قبلان الحزيمي:,9
مكة المكرمة: أحمد الجهني,9
نجران - الوئام :,9
عمان - واس:,9
الرياض- بندر العتيبي,9
القاهرة: أحمد عبد المطلب,9
القاهرة: واس,9
دبي: مساعد الزياني,9
الطائف - هلال الثبيتي:,9
الرياض: عماد المفوز,9
هشام محمود من لندن,9
القاهرة : واس,9
دمشق - وكالات:,9
إضاءة - نايف الحمري,9
محمد آل الشيخ,9
مها الشهري,9
رقية الهويريني,9
القاهرة: السيد الحراني,9
الرياض: شجاع البقمي,9
الرياض: محمد العواجي,9
 عبدالرحمن المصباحي (جدة),9
رويترز:,9
حفر الباطن - مبارك البوادي:,9
 خلف الحربي,9
الطائف - هلال الحارثي,9
أ. ف. ب,9
عادل التركي - الرياض,9
بغداد: أفراح شوقي,9
الخرطوم - بليغ حسب الله,9
بسام فتيني,9
طلال القشقري,9
عمان - واس,9
طارق إبراهيم,9
 خالد آل مريح (أبها),9
حسن عسيري,9
نجران - واس,9
د. إحسان بوحليقة,9
إبراهيم المشعل - الأحساء,9
اليوم - المدينة المنورة,9
حسين عبدالله - بيروت,9
سالمة الموشي,9
تبوك - الوئام :,8
لندن: أ ف ب,8
الرياض - فهد الثنيان,8
&nbsp;واس (الرياض),8
الجزيرة - خالد الحارثي:,8
محمد هجرس - القاهرة,8
الرياض: ياسر العطاوي,8
دبي : رويترز,8
جدة: يُمن لقمان,8
الرياض - عذراء الحسيني,8
 محمد علي السبيعي (الخرمة),8
واس ـ جدة,8
واس - جيزان,8
الرياض - واس:,8
الرس - أحمد الحمياني:,8
علي اليوسف - الدمام,8
عبدالله الفيفي - أبها,8
فهد الحوشاني,8
اليوم - الباحة,8
سبق- ينبع:,8
اليوم - جيزان,8
سعيد المعبدي - جدة,8
عماد ناصر - جدة,8
مدريد - (د ب أ):,8
د ب أ - واشنطن,8
حائل: فريح الرمالي,8
دبي: زاهر البشير,8
محمد سعيد الشريف - جدة,8
الخبر: وائل مهدي,8
واس- الرياض,8
الرياض: محمد الحميدي,8
كابل: «الشرق الأوسط»,8
أ ف ب,8
سعد العنيني - جدة,8
عبدالله عابد - حفرالباطن,8
جازان - عبدالله عكور:,8
 عبدالخالق ناصر الغامدي (الباحة),8
لندن: نجلاء حبريري,8
السيح - واس:,8
 مشعل السديري,8
عثمان العلي - الأحساء,8
محمد أبوزيد - القاهرة,8
حسين أحمد - الدمام,8
الوكالات - نيويورك,8
عبير الرجباني- سبق- الرياض:,8
دبي: «الشرق الأوسط»,8
&nbsp;واس (جدة),8
القريات - محمد البدري:,8
أبها - فيصل الأحمري:,8
 رويترز (لندن),8
 عادل النجار (جدة),8
بريدة: عبد الله العبيد,8
الدمام: إيمان الخطاف,8
الحسن آل سيد - أبها,8
واس - المدينة المنورة,8
عبدالعزيز مخزوم - الدمام,8
لندن: مينا العريبي,8
خالد الشاماني- سبق- المدينة المنورة:,8
عبدالرحمن القرني ـ عسير,8
إبراهيم الزاحم من الرياض,8
نجران - علي عون اليامي,8
نجيب عبد الرحمن الزامل,8
عماد المديفر,8
أبها: مسعود آل معيض,8
لندن - الرياض,8
الدمام - الوئام :,8
الرياض - محمد الحطيم,8
فهد المنجومي- سبق- مكة المكرمة:,8
جازان - الوئام :,8
القاهرة - أ ف ب,8
ياسر العتيبي- سبق- الباحة:,8
خلف ملفي,8
مكة المكرمة-الوئام:,8
مكة المكرمة : واس,8
أحمد الغز,8
صالح الحمادي,8
علي السعلي - جدة,8
هايل الشمري,8
بغداد - أ ف ب,8
د. أحمد الفراج,8
الدمام - ظافر الدوسري:,8
د. عبدالعزيز الجار الله,8
 عبد الرحيم بن حسن (جدة),8
طهران - لندن: «الشرق الأوسط»,8
جدة - ضيف الله المطوع,8
القاهرة: السيد سليمان,8
عمان: واس,8
أسامة البريكان - الرياض,8
جدة: عبدالرحمن زيد,8
الكويت - الوئام:,8
حفر الباطن - رمضان المتعب,8
عدن-الوئام:,8
مدريد-الوئام:,8
أنقرة - رويترز,8
المدينة المنورة: سعد الحربي,8
علا عباس,8
ياسر الغسلان,8
الطائف: سلطان الحارثي,8
جدة  - واس,8
جازان - عبده سيد:,8
الخرج - فهد الموسى:,8
بيروت - أ ف ب,8
د. خيرية السقاف,8
فهد السليم - الأحساء,8
الرياض: فهد الذيابي,7
يحيى العلكمي,7
عبدالحكيم شار- سبق- متابعة:,7
خالد السليمان,7
اليوم- الرياض,7
غازي القحطاني ـ الرياض,7
الجزيرة - ناصر السهلي:,7
شريف قنديل,7
لندن - رويترز:,7
سيد حكم,7
إبراهيم علي نسيب,7
لوس أنجليس - د ب أ,7
نيويورك - لندن: «الشرق الأوسط»,7
 عكاظ (مكة المكرمة),7
بكين - رويترز,7
 عثمان الشلاش (بريدة),7
أحمد التيهاني,7
عبدالله ثابت,7
الجزيرة - الزلفي:,7
النمسا - الوئام :,7
عبدالله البراك - الرياض,7
واشنطن - الوئام :,7
سبق ـ أبها:,7
أحمد بايوني - الخبر,7
المدينة - متابعات,7
عبد الرحمن سعد العرابي,7
علي الغامدي,7
 صالح الزهراني,7
لندن: جميلة حلفيشي,7
القاهرة: د. هاني رمزي عوض,7
سعود البلوي,7
 وكالات (برشلونة),7
الدمام – مرشد الخالدي,7
 عكاظ (أبها),7
القاهرة - علي فراج:,7
بكين: «الشرق الأوسط»,7
عبدالله عابد - الدمام,7
 أحمد الأنصاري (ينبع),7
بريدة - صالح الغفيص:,7
الرياض: د. حسن محمد صندقجي,7
د. هيا إبراهيم الجوهر,7
فواز العلمي,7
مدريد: «الشرق الأوسط»,7
عبدالله البراك ـ الرياض,7
